INFO:root:Insertion for Person193, property 58: 0.005326 seconds
INFO:root:Insertion for Person194, property 60: 0.005518 seconds
INFO:root:Insertion for Person195, property 71: 0.004890 seconds
INFO:root:Insertion for Person196, property 15: 0.004355 seconds
INFO:root:Insertion for Person197, property 69: 0.005579 seconds
INFO:root:Insertion for Person198, property 84: 0.005644 seconds
INFO:root:Insertion for Person199, property 66: 0.004745 seconds
INFO:root:Insertion for Person200, property 14: 0.005777 seconds
INFO:root:Insertion for Person201, property 87: 0.004314 seconds
INFO:root:Insertion for Person202, property 97: 0.004510 seconds
INFO:root:Insertion for Person203, property 45: 0.004515 seconds
INFO:root:Insertion for Person204, property 24: 0.005528 seconds
INFO:root:Insertion for Person205, property 82: 0.004830 seconds
INFO:root:Insertion for Person206, property 59: 0.005972 seconds
INFO:root:Insertion for Person207, property 50: 0.005368 seconds
INFO:root:Insertion for Person208, property 34: 0.005030 seconds
INFO:root:Insertion for Person209, property 14: 0.004138 seconds
INFO:root:Insertion for Person210, property 48: 0.005359 seconds
INFO:root:Insertion for Person211, property 99: 0.004472 seconds
INFO:root:Insertion for Person212, property 8: 0.005170 seconds
INFO:root:Insertion for Person213, property 35: 0.005006 seconds
INFO:root:Insertion for Person214, property 71: 0.005049 seconds
INFO:root:Insertion for Person215, property 2: 0.004430 seconds
INFO:root:Insertion for Person216, property 32: 0.006027 seconds
INFO:root:Insertion for Person217, property 27: 0.007462 seconds
INFO:root:Insertion for Person218, property 87: 0.004295 seconds
INFO:root:Insertion for Person219, property 97: 0.006073 seconds
INFO:root:Insertion for Person220, property 15: 0.006955 seconds
INFO:root:Insertion for Person221, property 86: 0.005254 seconds
INFO:root:Insertion for Person222, property 6: 0.006997 seconds
INFO:root:Insertion for Person223, property 67: 0.006331 seconds
INFO:root:Insertion for Person224, property 92: 0.007936 seconds
INFO:root:Insertion for Person225, property 92: 0.005567 seconds
INFO:root:Insertion for Person226, property 24: 0.003703 seconds
INFO:root:Insertion for Person227, property 35: 0.006218 seconds
INFO:root:Insertion for Person228, property 83: 0.006102 seconds
INFO:root:Insertion for Person229, property 2: 0.006676 seconds
INFO:root:Insertion for Person230, property 43: 0.005662 seconds
INFO:root:Insertion for Person231, property 64: 0.007728 seconds
INFO:root:Insertion for Person232, property 100: 0.008361 seconds
INFO:root:Insertion for Person233, property 51: 0.010292 seconds
INFO:root:Insertion for Person234, property 30: 0.007529 seconds
INFO:root:Insertion for Person235, property 19: 0.005034 seconds
INFO:root:Insertion for Person236, property 95: 0.007508 seconds
INFO:root:Insertion for Person237, property 35: 0.006641 seconds
INFO:root:Insertion for Person238, property 88: 0.006355 seconds
INFO:root:Insertion for Person239, property 36: 0.010339 seconds
INFO:root:Insertion for Person240, property 81: 0.005958 seconds
INFO:root:Insertion for Person241, property 91: 0.007481 seconds
INFO:root:Insertion for Person242, property 76: 0.005117 seconds
INFO:root:Insertion for Person243, property 93: 0.006371 seconds
INFO:root:Insertion for Person244, property 90: 0.006612 seconds
INFO:root:Insertion for Person245, property 22: 0.006272 seconds
INFO:root:Insertion for Person246, property 59: 0.007998 seconds
INFO:root:Insertion for Person247, property 59: 0.006001 seconds
INFO:root:Insertion for Person248, property 89: 0.006665 seconds
INFO:root:Insertion for Person249, property 43: 0.006433 seconds
INFO:root:Insertion for Person250, property 9: 0.005008 seconds
INFO:root:Insertion for Person251, property 30: 0.007555 seconds
INFO:root:Insertion for Person252, property 7: 0.004971 seconds
INFO:root:Insertion for Person253, property 19: 0.004187 seconds
INFO:root:Insertion for Person254, property 50: 0.004601 seconds
INFO:root:Insertion for Person255, property 89: 0.004411 seconds
INFO:root:Insertion for Person256, property 38: 0.005008 seconds
INFO:root:Insertion for Person257, property 18: 0.005368 seconds
INFO:root:Insertion for Person258, property 40: 0.004994 seconds
INFO:root:Insertion for Person259, property 90: 0.004000 seconds
INFO:root:Insertion for Person260, property 90: 0.005006 seconds
INFO:root:Insertion for Person261, property 44: 0.004896 seconds
INFO:root:Insertion for Person262, property 24: 0.004996 seconds
INFO:root:Insertion for Person263, property 48: 0.005001 seconds
INFO:root:Insertion for Person264, property 11: 0.005138 seconds
INFO:root:Insertion for Person265, property 19: 0.004845 seconds
INFO:root:Insertion for Person266, property 93: 0.004050 seconds
INFO:root:Insertion for Person267, property 73: 0.005174 seconds
INFO:root:Insertion for Person268, property 92: 0.004272 seconds
INFO:root:Insertion for Person269, property 43: 0.004591 seconds
INFO:root:Insertion for Person270, property 15: 0.005007 seconds
INFO:root:Insertion for Person271, property 4: 0.005527 seconds
INFO:root:Insertion for Person272, property 3: 0.005853 seconds
INFO:root:Insertion for Person273, property 67: 0.004499 seconds
INFO:root:Insertion for Person274, property 81: 0.005033 seconds
INFO:root:Insertion for Person275, property 47: 0.004999 seconds
INFO:root:Insertion for Person276, property 6: 0.005002 seconds
INFO:root:Insertion for Person277, property 3: 0.005746 seconds
INFO:root:Insertion for Person278, property 99: 0.004289 seconds
INFO:root:Insertion for Person279, property 5: 0.004489 seconds
INFO:root:Insertion for Person280, property 71: 0.005697 seconds
INFO:root:Insertion for Person281, property 88: 0.005122 seconds
INFO:root:Insertion for Person282, property 22: 0.005713 seconds
INFO:root:Insertion for Person283, property 47: 0.005844 seconds
INFO:root:Insertion for Person284, property 51: 0.005273 seconds
INFO:root:Insertion for Person285, property 81: 0.006011 seconds
INFO:root:Insertion for Person286, property 71: 0.004000 seconds
INFO:root:Insertion for Person287, property 66: 0.003557 seconds
INFO:root:Insertion for Person288, property 99: 0.006732 seconds
INFO:root:Insertion for Person289, property 96: 0.004014 seconds
INFO:root:Insertion for Person290, property 85: 0.007493 seconds
INFO:root:Insertion for Person291, property 87: 0.006002 seconds
INFO:root:Insertion for Person292, property 31: 0.006804 seconds
INFO:root:Insertion for Person293, property 85: 0.011748 seconds
INFO:root:Insertion for Person294, property 28: 0.005558 seconds
INFO:root:Insertion for Person295, property 9: 0.006877 seconds
INFO:root:Insertion for Person296, property 94: 0.004999 seconds
INFO:root:Insertion for Person297, property 98: 0.005418 seconds
INFO:root:Insertion for Person298, property 88: 0.005001 seconds
INFO:root:Insertion for Person299, property 72: 0.004998 seconds
INFO:root:Insertion for Person300, property 52: 0.005404 seconds
INFO:root:Insertion for Person301, property 52: 0.004828 seconds
INFO:root:Insertion for Person302, property 38: 0.004208 seconds
INFO:root:Insertion for Person303, property 82: 0.005475 seconds
INFO:root:Insertion for Person304, property 74: 0.004816 seconds
INFO:root:Insertion for Person305, property 31: 0.005112 seconds
INFO:root:Insertion for Person306, property 35: 0.005133 seconds
INFO:root:Insertion for Person307, property 95: 0.004917 seconds
INFO:root:Insertion for Person308, property 18: 0.004396 seconds
